ge,en,y1,y5,y10,h
სომხეთი,Armenia,20,20,20,12
აზერბაიჯანი,Azerbaijan,15,17,19,20
ბელარუსი,Belarus,18,18,18,9
ბელგია,Belgium,20,20,20,10
ბრაზილია,Brazil,26,26,26,10
ბულგარეთი,Bulgaria ,20,20,20,14
კანადა,Canada,10,10,10,10
ჩინეთი,China,5,5,10,11
ჩეხეთი,Czech Republic,20,20,20,12
საფრანგეთი,France,30,30,30,1
საქართველო,Georgia,24,24,24,15
გერმანია,Germany,24,24,24,10
საბერძნეთ,Greece,20,22,25,14
ჰონგ კონგი,Hong Kong,7,10,14,17
ინდოეთი,India,15,15,15,17
იტალია,Italy,20,20,21,13
იაპონია,Japan,10,16,20,0
ჰოლანდია,Netherlands,20,20,20,0
პოლონეთი,Poland,20,20,26,13
რუმინეთი,Romania,20,20,20,10
რუსეთი,Russia,22,22,22,11
სამხრეთ კორეა,South Korea ,15,17,19,15
ესპანეთი,Spain,22,22,22,12
შვედეთი,Sweden,25,25,25,0
შვეიცარია,Switzerland,20,20,20,0
თურქეთი,Turkey,14,14,20,8
დიდი ბრიტანეთი,UK,28,28,28,0
აშშ,USA,0,0,0,0